2026/06/10 16:36:13.623, 46, 10.89, 0, 0, [N/A], [N/A]
2026/06/10 16:36:14.648, 46, 10.89, 0, 0, [N/A], [N/A]
2026/06/10 16:36:15.674, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:36:16.698, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:17.723, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:36:18.752, 46, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:36:19.777, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:20.802, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:21.826, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:36:22.852, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:36:23.878, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:36:24.902, 46, 10.75, 0, 0, [N/A], [N/A]
2026/06/10 16:36:25.926, 46, 10.73, 0, 0, [N/A], [N/A]
2026/06/10 16:36:26.951, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:36:27.976, 46, 10.75, 0, 0, [N/A], [N/A]
2026/06/10 16:36:29.003, 46, 10.91, 0, 0, [N/A], [N/A]
2026/06/10 16:36:30.029, 46, 10.92, 0, 0, [N/A], [N/A]
2026/06/10 16:36:31.054, 46, 10.97, 0, 0, [N/A], [N/A]
2026/06/10 16:36:32.080, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:36:33.106, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:36:34.132, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:36:35.157, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:36:36.183, 46, 10.70, 0, 0, [N/A], [N/A]
2026/06/10 16:36:37.208, 46, 10.66, 0, 0, [N/A], [N/A]
2026/06/10 16:36:38.233, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:36:39.259, 46, 10.70, 0, 0, [N/A], [N/A]
2026/06/10 16:36:40.286, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:36:41.311, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:36:42.337, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:36:43.363, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:36:44.388, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:36:45.412, 46, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:36:46.437, 46, 10.70, 0, 0, [N/A], [N/A]
2026/06/10 16:36:47.462, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:36:48.487, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:36:49.511, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:36:50.534, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:36:51.556, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:52.582, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:53.608, 46, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:36:54.633, 46, 10.88, 0, 0, [N/A], [N/A]
2026/06/10 16:36:55.658, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:36:56.683, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:36:57.709, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:36:58.734, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:36:59.762, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:00.788, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:01.812, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:02.836, 46, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:37:03.861, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:04.885, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:37:05.910, 46, 10.86, 0, 0, [N/A], [N/A]
2026/06/10 16:37:06.936, 46, 10.88, 0, 0, [N/A], [N/A]
2026/06/10 16:37:07.963, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:37:08.989, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:10.014, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:11.039, 46, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:37:12.063, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:13.088, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:37:14.112, 46, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:37:15.139, 46, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:37:16.164, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:17.187, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:18.210, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:37:19.233, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:37:20.259, 46, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:37:21.284, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:22.309, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:23.334, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:24.360, 46, 10.70, 0, 0, [N/A], [N/A]
2026/06/10 16:37:25.385, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:37:26.411, 46, 10.68, 0, 0, [N/A], [N/A]
2026/06/10 16:37:27.437, 46, 10.68, 0, 0, [N/A], [N/A]
2026/06/10 16:37:28.461, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:29.485, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:37:30.511, 46, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:37:31.538, 46, 11.11, 0, 0, [N/A], [N/A]
2026/06/10 16:37:32.562, 46, 10.75, 0, 0, [N/A], [N/A]
2026/06/10 16:37:33.587, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:37:34.611, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:37:35.635, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:37:36.659, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:37:37.683, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:37:38.707, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:37:39.731, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:37:40.755, 46, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:37:41.781, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:37:42.808, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:43.834, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:44.859, 46, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:37:45.886, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:37:46.912, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:47.939, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:48.964, 46, 10.70, 0, 0, [N/A], [N/A]
2026/06/10 16:37:49.989, 46, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:37:51.016, 46, 10.84, 0, 0, [N/A], [N/A]
2026/06/10 16:37:52.041, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:37:53.066, 46, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:37:54.092, 46, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:37:55.117, 46, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:37:56.141, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:37:57.165, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:37:58.188, 46, 10.73, 0, 0, [N/A], [N/A]
2026/06/10 16:37:59.212, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:38:00.236, 46, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:38:01.261, 46, 10.99, 0, 0, [N/A], [N/A]
2026/06/10 16:38:02.286, 46, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:38:03.309, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:38:04.333, 46, 10.75, 0, 0, [N/A], [N/A]
2026/06/10 16:38:05.357, 46, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:38:06.382, 46, 10.73, 0, 0, [N/A], [N/A]
2026/06/10 16:38:07.406, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:38:08.430, 46, 10.76, 0, 0, [N/A], [N/A]
2026/06/10 16:38:09.455, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:38:10.479, 46, 10.75, 0, 0, [N/A], [N/A]
2026/06/10 16:38:11.502, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:38:12.526, 46, 10.68, 0, 0, [N/A], [N/A]
2026/06/10 16:38:13.550, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:38:14.573, 46, 10.73, 0, 0, [N/A], [N/A]
2026/06/10 16:38:15.597, 46, 10.73, 0, 0, [N/A], [N/A]
2026/06/10 16:38:16.621, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:38:17.645, 46, 10.72, 0, 0, [N/A], [N/A]
2026/06/10 16:38:18.668, 46, 10.71, 0, 0, [N/A], [N/A]
2026/06/10 16:38:19.692, 46, 10.68, 0, 0, [N/A], [N/A]
2026/06/10 16:38:20.716, 46, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:38:21.740, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:38:22.765, 46, 10.74, 0, 0, [N/A], [N/A]
2026/06/10 16:38:23.790, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:38:24.817, 46, 10.64, 0, 0, [N/A], [N/A]
2026/06/10 16:38:25.843, 46, 10.64, 0, 0, [N/A], [N/A]
2026/06/10 16:38:26.867, 46, 10.62, 0, 0, [N/A], [N/A]
2026/06/10 16:38:27.891, 46, 10.61, 0, 0, [N/A], [N/A]
2026/06/10 16:38:28.915, 46, 10.60, 0, 0, [N/A], [N/A]
2026/06/10 16:38:29.938, 46, 10.62, 0, 0, [N/A], [N/A]
2026/06/10 16:38:30.962, 46, 10.69, 0, 0, [N/A], [N/A]
2026/06/10 16:38:31.987, 46, 10.56, 0, 0, [N/A], [N/A]
2026/06/10 16:38:33.010, 46, 10.60, 0, 0, [N/A], [N/A]
2026/06/10 16:38:34.034, 46, 10.61, 0, 0, [N/A], [N/A]
2026/06/10 16:38:35.059, 45, 10.62, 0, 0, [N/A], [N/A]
2026/06/10 16:38:36.084, 45, 10.63, 0, 0, [N/A], [N/A]
2026/06/10 16:38:37.108, 45, 10.60, 0, 0, [N/A], [N/A]
2026/06/10 16:38:38.134, 45, 10.61, 0, 0, [N/A], [N/A]
2026/06/10 16:38:39.160, 45, 10.65, 0, 0, [N/A], [N/A]
2026/06/10 16:38:40.185, 45, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:38:41.208, 45, 10.66, 0, 0, [N/A], [N/A]
2026/06/10 16:38:42.232, 45, 10.60, 0, 0, [N/A], [N/A]
2026/06/10 16:38:43.257, 45, 10.58, 0, 0, [N/A], [N/A]
2026/06/10 16:38:44.281, 45, 10.62, 0, 0, [N/A], [N/A]
2026/06/10 16:38:45.305, 45, 10.61, 0, 0, [N/A], [N/A]
2026/06/10 16:38:46.329, 45, 10.65, 0, 0, [N/A], [N/A]
